,text,images,category,language
0,Remove the carrot from the image.,pic04.jpg,0,en
1,Replace the lemon with an orange.,pic04.jpg,0,en
2,Enlarge the wooden chair in the image by 20%.,pic01.jpg,0,en
3,Reduce the brightness of the dog in the image.,pic11.jpg,0,en
4,Rotate the dog in the image 90 degrees to the left.,pic11.jpg,0,en
5,Remove the brown bag from the image.,pic12.jpg,0,en
6,Replace the glasses with a fashionable handbag.,pic12.jpg,0,en
7,Move the player on the field 30px to the right.,pic03.jpg,0,en
8,Remove the coat from the image.,pic13.jpg,0,en
9,Remove the white flower from the image.,pic26.jpg,0,en
10,Replace the dog in the image with a cat.,pic33.jpg,0,en
11,Shrink the dog by 35%.,pic32.jpg,0,en
12,Remove the fish from the image.,pic20.jpg,0,en
13,Separate the fish in the image.,pic20.jpg,0,en
14,Enlarge the hand in the image by 20%.,pic22.jpg,0,en
15,Extend the legs of the two figures.,pic12.jpg,3,en
16,Convert the image to an oil painting style.,pic02.jpg,3,en
17,Create a video from the image above.,pic02.jpg,3,en
18,Add speech bubbles for each character directly into the image above.,pic03.jpg,3,en
19,Add people to the empty chairs to make the restaurant crowded.,pic08.jpg,3,en
20,Create a park background for the girl in the image.,pic14.jpg,3,en
21,Edit the woman's figure to make her slimmer.,pic35.jpg,3,en
22,Change the background to a flower garden for the two people in the image.,pic15.jpg,3,en
23,Convert the image to an artistic anime style.,pic09.jpg,3,en
24,Create an image of a forest with many wild animals.,pic09.jpg,3,en
25,Convert the image to an oil painting style.,pic25.jpg,3,en
26,Create a video from the image above.,pic20.jpg,3,en
27,Create an image of a fruit garden from the image.,pic30.jpg,3,en
28,Create an image of a party with the two dogs in the image.,pic34.jpg,3,en
29,Convert this image into a PowerPoint file.,pic16.jpg,3,en
